name|month|year|open|high|low|close|close_previous_month|low_previous_month|pct_return_month|pct_open_to_low|pct_low_to_high|pct_low_previous_month_to_low_current_month|day_low_day_of_month|day_high_day_of_month
AAK AB|Jan|2008|20.042|21.042|18.75|20.042||||-0.0644646242889932|0.1222400000000001||22|2
AAK AB|Feb|2008|20.0|26.0|19.25|25.667|20.042|18.75|0.280660612713302|-0.0374999999999999|0.3506493506493506|0.0266666666666666|7|26
AAK AB|Mar|2008|25.417|28.167|23.5|27.333|25.667|19.25|0.0649082479448317|-0.0754219616791911|0.198595744680851|0.2207792207792207|11|27
AAK AB|Apr|2008|27.167|29.667|25.25|28.417|27.333|23.5|0.0396590202319542|-0.0705635513674679|0.174930693069307|0.074468085106383|9|3
AAK AB|May|2008|28.583|30.75|26.833|27.5|28.417|25.25|-0.0322694161945315|-0.0612252037924641|0.1459769686579959|0.0626930693069305|28|16
AAK AB|Jun|2008|28.5|28.75|24.917|27.417|27.5|26.833|-0.0030181818181818|-0.125719298245614|0.1538307179837057|-0.0714046137219094|27|4
AAK AB|Jul|2008|27.417|27.417|23.792|25.5|27.417|24.917|-0.0699201225517015|-0.1322172374803953|0.152362138533961|-0.0451498976602319|21|1
AAK AB|Aug|2008|25.667|27.333|22.25|23.0|25.5|23.792|-0.0980392156862745|-0.1331281411929715|0.228449438202247|-0.0648117014122394|21|8
AAK AB|Sep|2008|23.25|23.25|18.417|19.375|23.0|22.25|-0.1576086956521739|-0.2078709677419353|0.2624205896725851|-0.1722696629213482|23|1
AAK AB|Oct|2008|19.833|20.333|12.833|15.667|19.375|18.417|-0.1913806451612903|-0.3529471083547622|0.5844307644354398|-0.3031981321605039|27|14
AAK AB|Nov|2008|16.0|20.917|15.958|19.5|15.667|12.833|0.2446543690559774|-0.0026249999999999|0.3107532272214564|0.2435128185147665|3|10
AAK AB|Dec|2008|19.5|21.75|17.25|17.667|19.5|15.958|-0.0939999999999999|-0.1153846153846154|0.2608695652173913|0.0809625266324101|30|17
AAK AB|Jan|2009|18.0|21.333|18.0|19.917|17.667|17.25|0.1273560876209882|0.0|0.1851666666666664|0.0434782608695651|2|9
AAK AB|Feb|2009|19.583|21.5|18.25|21.5|19.917|18.0|0.0794798413415673|-0.0680692437318081|0.1780821917808219|0.0138888888888888|3|27
AAK AB|Mar|2009|21.167|21.292|16.667|17.0|21.5|18.25|-0.2093023255813954|-0.212595077242878|0.2774944501109977|-0.0867397260273972|31|2
AAK AB|Apr|2009|17.083|18.958|15.958|18.792|17.0|16.667|0.1054117647058825|-0.0658549435110927|0.1879934828925928|-0.0425391492170157|21|30
AAK AB|May|2009|19.0|20.75|16.75|17.25|18.792|15.958|-0.0820561941251597|-0.1184210526315789|0.2388059701492537|0.0496302794836445|28|11
AAK AB|Jun|2009|17.5|18.25|16.042|16.167|17.25|16.75|-0.0627826086956521|-0.0833142857142856|0.1376386984166562|-0.0422686567164177|26|2
AAK AB|Jul|2009|16.25|17.25|15.333|16.833|16.167|16.042|0.0411950269066614|-0.0564307692307691|0.1250244570534142|-0.0441964842288992|17|24
AAK AB|Aug|2009|16.708|21.25|16.708|20.667|16.833|15.333|0.2277668864729995|0.0|0.271845822360546|0.0896758625187503|3|28
AAK AB|Sep|2009|20.917|22.958|19.792|22.333|20.667|16.708|0.0806116030386605|-0.0537840034421762|0.159963621665319|0.1845822360545848|2|18
AAK AB|Oct|2009|22.042|25.333|21.708|24.0|22.333|19.792|0.0746429051179868|-0.0151528899373923|0.1669891284319145|0.0968067906224736|2|23
AAK AB|Nov|2009|24.0|27.333|23.667|27.0|24.0|21.708|0.125|-0.0138749999999999|0.1548992267714537|0.0902432283029299|2|30
AAK AB|Dec|2009|27.083|27.083|25.5|26.167|27.0|23.667|-0.0308518518518517|-0.0584499501532326|0.0620784313725488|0.0774496133857269|2|1
AAK AB|Jan|2010|26.333|29.833|26.0|28.25|26.167|25.5|0.0796040814766689|-0.0126457296927808|0.1474230769230768|0.0196078431372548|4|18
AAK AB|Feb|2010|28.417|32.75|27.0|31.667|28.25|26.0|0.1209557522123894|-0.0498645177182672|0.212962962962963|0.0384615384615385|8|23
AAK AB|Mar|2010|31.833|34.167|31.25|32.667|31.667|27.0|0.0315786149619476|-0.0183143278987214|0.0933440000000001|0.1574074074074074|1|3
AAK AB|Apr|2010|32.667|33.667|28.667|30.5|32.667|31.25|-0.0663360577953287|-0.1224477301252028|0.1744165765514354|-0.0826559999999999|28|8
AAK AB|May|2010|30.667|30.667|23.0|23.75|30.5|28.667|-0.2213114754098361|-0.2500081520853034|0.3333478260869567|-0.1976837478633969|25|3
AAK AB|Jun|2010|24.167|25.583|23.292|24.167|23.75|23.0|0.0175578947368422|-0.0362063971531426|0.0983599519148203|0.0126956521739132|8|21
AAK AB|Jul|2010|24.167|26.25|23.833|25.417|24.167|23.292|0.0517234245044895|-0.0138204990275997|0.1014140057902908|0.0232268590073843|1|8
AAK AB|Aug|2010|25.25|26.417|23.958|24.25|25.417|23.833|-0.0459141519455482|-0.0511683168316832|0.1026379497453879|0.0052448285990014|31|6
AAK AB|Sep|2010|24.75|27.167|24.5|26.667|24.25|23.958|0.0996701030927835|-0.01010101010101|0.1088571428571429|0.0226229234493697|1|24
AAK AB|Oct|2010|26.833|28.333|25.5|26.25|26.667|24.5|-0.0156373045336933|-0.0496776357470278|0.1110980392156861|0.0408163265306122|19|19
AAK AB|Nov|2010|26.417|30.417|25.917|29.167|26.25|25.5|0.1111238095238096|-0.0189272059658552|0.1736312073156616|0.0163529411764706|2|22
AAK AB|Dec|2010|28.917|32.167|28.583|31.417|29.167|25.917|0.0771419755202797|-0.0115502991319985|0.1253892173669664|0.1028668441563451|1|15
AAK AB|Jan|2011|31.333|32.667|27.833|28.75|31.417|28.583|-0.0848903459910239|-0.1117033159927233|0.1736787266913377|-0.0262393730539132|31|7
AAK AB|Feb|2011|28.833|30.083|27.5|28.417|28.75|27.833|-0.011582608695652|-0.0462317483439114|0.0939272727272726|-0.0119642151403009|24|7
AAK AB|Mar|2011|28.75|30.667|27.917|30.0|28.417|27.5|0.0557060914241474|-0.0289739130434781|0.0985062864921015|0.0151636363636364|15|4
AAK AB|Apr|2011|30.0|33.083|28.917|33.0|30.0|27.917|0.1|-0.0360999999999999|0.1440675035446277|0.0358204678153095|5|29
AAK AB|May|2011|33.0|34.167|31.0|31.333|33.0|28.917|-0.0505151515151515|-0.0606060606060605|0.1021612903225805|0.0720337517723137|25|5
AAK AB|Jun|2011|31.333|31.583|27.583|30.583|31.333|31.0|-0.0239364248555835|-0.1196821242779179|0.1450168582097668|-0.1102258064516129|16|1
AAK AB|Jul|2011|30.667|32.167|28.417|30.0|30.583|27.583|-0.0190628780695156|-0.0733687677307854|0.1319632614280184|0.0302360149367364|19|1
AAK AB|Aug|2011|30.5|30.833|25.083|28.667|30.0|28.417|-0.0444333333333333|-0.1776065573770492|0.2292389267631462|-0.1173241369602703|9|1
AAK AB|Sep|2011|28.583|28.833|26.417|27.25|28.667|25.083|-0.0494296577946768|-0.0757793093797011|0.0914562592270127|0.0531834310090499|26|1
AAK AB|Oct|2011|26.667|29.667|26.417|29.333|27.25|26.417|0.0764403669724769|-0.0093748828139648|0.1230268387780595|0.0|6|31
AAK AB|Nov|2011|29.0|29.917|27.667|29.75|29.333|26.417|0.0142160706371663|-0.0459655172413792|0.081324321393718|0.0473180149146383|9|28
AAK AB|Dec|2011|29.167|33.25|29.083|33.25|29.75|27.667|0.1176470588235294|-0.0028799670860905|0.1432795791355776|0.0511801062637797|1|30
AAK AB|Jan|2012|33.25|33.667|30.667|33.583|33.25|29.083|0.0100150375939849|-0.0776842105263156|0.0978250236410473|0.0544648076195717|18|31
AAK AB|Feb|2012|33.667|36.667|33.417|35.5|33.583|30.667|0.0570824524312896|-0.0074256690527816|0.0972558877218181|0.0896729383376266|1|9
AAK AB|Mar|2012|35.667|36.0|33.75|34.833|35.5|33.417|-0.0187887323943662|-0.0537471612414838|0.0666666666666666|0.0099649878804199|20|14
AAK AB|Apr|2012|34.75|37.667|34.583|37.667|34.833|33.75|0.081359630235696|-0.0048057553956835|0.0891767631495243|0.0246814814814815|23|26
AAK AB|May|2012|37.167|41.0|36.167|37.417|37.667|34.583|-0.0066371094061113|-0.026905588290688|0.1336301047916608|0.045802851111818|18|9
AAK AB|Jun|2012|37.5|40.25|35.333|39.417|37.417|36.167|0.0534516396290456|-0.0577866666666667|0.1391616902046246|-0.0230596953023475|1|19
AAK AB|Jul|2012|39.667|40.333|35.833|36.917|39.417|35.333|-0.0634244107872238|-0.0966546499609247|0.1255825635587308|0.0141510768969519|24|17
AAK AB|Aug|2012|37.083|39.667|36.083|39.083|36.917|35.833|0.0586721564590837|-0.0269665345306474|0.0993265526702327|0.0069768090865962|20|28
AAK AB|Sep|2012|38.75|42.75|38.667|41.417|39.083|36.083|0.0597190594376071|-0.0021419354838708|0.1055939172938162|0.0716126707867972|3|20
AAK AB|Oct|2012|41.417|44.5|40.833|43.5|41.417|38.667|0.0502933577999371|-0.0141004901369004|0.0898048147331815|0.0560167584762199|2|18
AAK AB|Nov|2012|43.333|45.333|41.917|44.917|43.5|40.833|0.0325747126436781|-0.0326771744398033|0.0814943817544193|0.0265471554869836|12|30
AAK AB|Dec|2012|44.833|46.167|43.833|46.0|44.917|41.917|0.0241111383217935|-0.022304998550175|0.0532475532133325|0.0457093780566355|11|27
