Stock|ExpiryDate|LowerBound_Min|LowerBound_Max|LowerBound_Median|LowerBound_Mean|PredictionCount|BreachCount|ExpiryClosePrice
AAK AB|2024-04-19|250.01|250.01|250.01|250.01|1|0.0|254.8
AAK AB|2024-05-17|234.2|286.94|270.24|263.93117647058824|17|0.0|287.2
AAK AB|2024-06-20|229.23|302.46|277.84000000000003|271.4994444444444|36|0.0|305.4
AAK AB|2024-07-19|225.45|308.67|273.525|275.52517857142857|56|6.0|296.6
AAK AB|2024-08-16|263.7|306.04|285.845|283.2433333333333|60|0.0|308.6
AAK AB|2024-09-20|219.1|324.48|280.255|277.46521739130435|92|0.0|330.0
AAK AB|2024-10-18|266.97|334.77|289.7|294.98641509433963|53|0.0|337.2
AAK AB|2024-11-15|270.22|321.61|298.725|297.88403846153847|52|46.0|280.4
AAK AB|2024-12-20|211.19|313.22|271.605|273.7609027777778|144|0.0|316.0
AAK AB|2025-01-17|257.34|312.15|292.41499999999996|289.0040740740741|54|3.0|309.4
AAK AB|2025-02-21|250.15|306.65|292.13|284.7816393442623|61|3.0|305.0
AAK AB|2025-03-21|246.89|300.89|275.355|275.5017682926829|164|63.0|283.0
AAK AB|2025-04-16|252.93|296.84|275.49|276.5833333333333|63|39.0|270.0
AAK AB|2025-05-16|231.99|281.05|254.89|254.31833333333333|60|19.0|257.4
AAK AB|2025-06-19|227.02|284.42|257.76|257.3506870229008|131|78.0|253.4
AAK AB|2025-06-20|233.54|287.73|273.53|266.44971428571426|35||
AAK AB|2025-07-18|221.69|255.23|239.62|239.53969230769232|65|0.0|258.6
AAK AB|2025-08-15|223.23|253.28|240.975|240.31076923076924|52|0.0|255.8
AAK AB|2025-09-19|215.12|272.37|246.04000000000002|246.5276|150|63.0|250.2
AAK AB|2025-10-17|231.04|261.29|242.86|244.79510638297873|47|4.0|257.2
AAK AB|2025-11-21|221.38|267.36|238.995|242.23819444444447|72|8.0|259.0
AAK AB|2025-12-19|207.36|263.52|231.8|235.3132624113475|141|0.0|264.2
AAK AB|2026-01-16|223.61|257.93|249.43|247.27618181818184|55||
AAK AB|2026-02-20|227.1|245.56|237.66|237.63620689655173|29||
ABB Ltd|2024-04-19|513.07|513.07|513.07|513.07|1|0.0|535.8
ABB Ltd|2024-04-26|510.69|524.32|519.65|518.6020000000001|5|0.0|539.4
ABB Ltd|2024-05-03|508.85|535.75|519.935|522.28375|8|0.0|537.8
ABB Ltd|2024-05-10|506.92|539.59|526.56|523.5058333333333|12|0.0|562.8
ABB Ltd|2024-05-17|504.12|559.34|525.42|526.3752941176471|17|1.0|558.4
ABB Ltd|2024-05-24|518.41|569.04|547.7249999999999|540.62|16|0.0|573.4
ABB Ltd|2024-05-31|518.48|566.98|550.66|548.87625|16|0.0|575.6
ABB Ltd|2024-06-07|516.44|578.26|550.91|551.4976190476191|21|0.0|591.6
ABB Ltd|2024-06-14|537.13|584.57|558.52|557.7082608695653|23|0.0|589.8
ABB Ltd|2024-06-20|493.27|594.89|545.1|544.1958974358975|39|0.0|600.8
ABB Ltd|2024-06-28|550.66|587.81|568.985|566.9659090909091|22|0.0|588.0
ABB Ltd|2024-07-05|562.75|582.77|572.19|572.4316666666667|18|3.0|581.4
ABB Ltd|2024-07-12|560.29|581.4|570.685|571.4377777777777|18|0.0|610.6
ABB Ltd|2024-07-19|483.95|592.01|548.74|542.2353333333333|60|3.0|579.8
ABB Ltd|2024-07-26|553.95|588.33|564.03|568.6631578947369|19|0.0|589.8
ABB Ltd|2024-08-02|552.77|586.92|569.56|570.4447368421053|19|19.0|547.8
ABB Ltd|2024-08-09|514.96|585.22|566.25|559.7688888888889|18|14.0|550.4
ABB Ltd|2024-08-16|510.56|583.43|550.26|547.8144615384616|65|6.0|571.8
ABB Ltd|2024-08-23|505.78|571.94|554.19|544.9583333333334|18|0.0|574.2
ABB Ltd|2024-08-30|502.36|578.14|555.32|545.0526315789474|19|0.0|587.2
ABB Ltd|2024-09-06|498.82|577.8|553.095|544.965|22|12.0|551.4
ABB Ltd|2024-09-13|518.14|573.49|550.47|548.5214285714286|21|2.0|566.2
ABB Ltd|2024-09-20|473.15|574.69|541.19|534.1667326732673|101|0.0|577.0
ABB Ltd|2024-09-27|521.2|592.76|554.91|555.7319047619047|21|1.0|591.2
ABB Ltd|2024-10-04|517.73|583.91|560.395|558.8327777777778|18|0.0|593.8
ABB Ltd|2024-10-11|537.81|592.73|571.07|565.0052631578948|19|0.0|602.2
ABB Ltd|2024-10-18|480.12|600.36|539.66|539.384126984127|63|0.0|602.8
ABB Ltd|2024-10-25|550.0|597.41|564.895|568.411111111111|18|1.0|594.8
ABB Ltd|2024-10-31|553.8|593.6|575.77|575.0623529411764|17|1.0|593.0
ABB Ltd|2024-11-08|559.62|607.83|577.77|578.8883333333333|18|0.0|618.6
ABB Ltd|2024-11-15|495.21|610.17|547.82|549.4401538461539|65|0.0|615.0
ABB Ltd|2024-11-22|562.4|610.14|591.745|587.488|20|0.0|621.4
ABB Ltd|2024-11-29|559.69|608.69|593.8900000000001|590.7645|20|0.0|619.6
ABB Ltd|2024-12-06|556.71|634.06|590.89|594.0865384615385|26|0.0|647.0
ABB Ltd|2024-12-13|578.45|635.31|594.11|602.6724|25|1.0|634.0
ABB Ltd|2024-12-20|452.92|629.17|526.14|534.2680981595092|163|13.0|603.6
ABB Ltd|2024-12-27|579.27|629.5|617.24|609.2622727272727|22|13.0|604.6
ABB Ltd|2025-01-03|584.61|627.64|617.81|610.7564285714286|14|9.0|600.4
ABB Ltd|2025-01-10|580.27|614.53|592.34|597.1007692307693|13|4.0|602.6
ABB Ltd|2025-01-17|545.01|618.93|580.33|580.6996721311475|61|2.0|617.8
ABB Ltd|2025-01-24|572.23|637.95|587.0699999999999|592.735625|16|0.0|650.6
ABB Ltd|2025-01-31|563.7|620.95|577.25|583.7047368421053|19|3.0|607.2
ABB Ltd|2025-02-07|560.38|617.12|579.6300000000001|581.3795833333334|24|3.0|597.0
ABB Ltd|2025-02-14|556.81|613.55|580.6|581.5876000000001|25|3.0|608.6
ABB Ltd|2025-02-21|551.23|613.58|574.6|576.1349253731344|67|0.0|618.4
