OptionName|FinancialReport|X-Day|Premium|PoW_Simulation_Mean_Earnings|100k_Invested_Loss_Mean|1_2_3_ProbOfWorthless_Weighted|ProbWorthless_Bayesian_IsoCal|1_ProbOfWorthless_Original|2_ProbOfWorthless_Calibrated|3_ProbOfWorthless_Historical_IV|Lower_Bound_at_Accuracy|LossAtBadDecline|LossAtWorstDecline|PoW_Stats_MedianLossPct|PoW_Stats_WorstLossPct|PoW_Stats_MedianLoss|PoW_Stats_WorstLoss|PoW_Stats_MedianProbOfWorthless|PoW_Stats_MinProbOfWorthless|PoW_Stats_MaxProbOfWorthless|LossAt100DayWorstDecline|LossAt_2008_100DayWorstDecline|Mean_Accuracy|Lower_Bound_HistMedianIV_at_Accuracy|Lower_Bound|Lower_Bound_HistMedianIV|Bid_Ask_Mid_Price|Option_Price_Min|NumberOfContractsBasedOnLimit|Bid|ProfitLossPctLeastBad|Loss_Least_Bad|IV_AllMedianIV_Maximum100DaysToExp_Ratio|StockPrice|DaysToExpiry|AskBidSpread|Underlying_Value|StrikePrice|StockPrice_After_2008_100DayWorstDecline|LossAt50DayWorstDecline|LossAt_2008_50DayWorstDecline|ProfitLossPctBad|ProfitLossPctWorst|ProfitLossPct100DayWorst|ImpliedVolatility|TodayStockMedianIV_Maximum100DaysToExp|AllMedianIV_Maximum100DaysToExp|ExpiryDate_Lower_Bound_Minus_Pct_Based_on_Accuracy|StrikeBelowLowerAtAcc|StockName|Country|SampleSize|Confidence|ExpiryDate|Ask|WorstHistoricalDecline|BadHistoricalDecline|ImpliedVolatilityUntilExpiry|StockPrice_After_100DayWorstDecline|StockPrice_After_50DayWorstDecline|StockPrice_After_2008_50DayWorstDecline|100DayMaxPrice|100DayMaxPriceDate|50DayMaxPrice|50DayMaxPriceDate|Historical100DaysWorstDecline|Historical50DaysWorstDecline|2008_100DaysWorstDecline|2008_50DaysWorstDecline|IV_2sigma_Decline|BreakevenDecline|CVaR10pct_Decline
AAK6O225|||230|-5.083926416722266|-818.4194502745772|0.7390127932838086|0.90625|0.7390746274888831|0.739||228.4|-4887|-9952|-0.0291732142857142|-0.1394083333333333|-2851.368750000008|-13801.425|0.8331730968198257|0.7003514335634345|0.9944362670064096|-16050|-42090|0.8125|228.7|222.8|226.4|0.95|0.96|4.0|0.15|0.047|-4887|2.3517807337658234|229.0|1|11.67|90000|225.0|119.2|-17730|-31610|0.047|0.023|0.014|0.4303254573700104|0.3214749770081091|0.1829785622407687|0.9||AAK|SE|32.0|MEDIUM|2026-03-20|1.75|-0.1286346396965865|-0.0733351694261387|0.0271079557862184|184.3|180.1|145.4|274.2|2025-10-24|260.2|2026-02-05|-0.3276907529055078|-0.3077523413111341|-0.5653794591766667|-0.441324815063887|-0.0542|-0.0216|-0.1199809476326987
AAK6O226|||310|-11.248316903684554|-926.7072290454644|0.6909773445261477|0.7626936813186813|0.6908678430691947|0.691||228.4|-5207|-10272|-0.0291732142857142|-0.1394083333333333|-2851.368750000008|-13801.425|0.8331730968198257|0.7003514335634345|0.9944362670064096|-16370|-42410|0.8125|228.7|223.0|226.4|1.15|1.32|4.0|0.35|0.06|-5207|2.2558625934671874|229.0|1|5.57|90400|226.0|119.2|-18050|-31930|0.06|0.03|0.019|0.4127744939653576|0.3214749770081091|0.1829785622407687|0.9|Y|AAK|SE|28.0|LOW|2026-03-20|1.95|-0.1286346396965865|-0.0733351694261387|0.0260023490138778|184.3|180.1|145.4|274.2|2025-10-24|260.2|2026-02-05|-0.3276907529055078|-0.3077523413111341|-0.5653794591766667|-0.441324815063887|-0.052|-0.0181|-0.1199809476326987
AAK6O228|||570|-159.50149400488607|-1216.5528028283711|0.5660693509789892|0.65|0.5664045473774368|0.566||228.4|-5747|-10812|-0.0291732142857142|-0.1394083333333333|-2851.368750000008|-13801.425|0.8331730968198257|0.7003514335634345|0.9944362670064096|-16910|-42950|0.8125|228.7|223.3|226.4|1.8|2.53|4.0|1.0|0.099|-5747|2.165073224698163|229.0|1|2.6|91200|228.0|119.2|-18590|-32470|0.099|0.053|0.034|0.3961619858012546|0.3214749770081091|0.1829785622407687|0.9|Y|AAK|SE|40.0|MEDIUM|2026-03-20|2.6|-0.1286346396965865|-0.0733351694261387|0.0249558593649433|184.3|180.1|145.4|274.2|2025-10-24|260.2|2026-02-05|-0.3276907529055078|-0.3077523413111341|-0.5653794591766667|-0.441324815063887|-0.0499|-0.0122|-0.1199809476326987
AAK6P195|||300|-711.3986475409837|-7243.101092896176|0.8771521798619515|0.9595028067361668|0.910329768642523|0.906|0.834|216.3|-7790|-20462|-0.0291732142857142|-0.1394083333333333|-2851.368750000008|-13801.425|0.8331730968198257|0.7003514335634345|0.9944362670064096|-5050|-37600|0.8009563599380534|223.2|203.7|217.5|0.9|2.15|5.0|0.1|0.059|-5050|2.202646880134089|229.0|19|17.0|97500|195.0|119.2|-8750|-25800|0.039|0.015|0.059|0.4030371592510504|0.3214749770081091|0.1829785622407687|0.5||AAK|SE|43.0|MEDIUM|2026-04-17|1.7|-0.3298038622497856|-0.2191275546766954|0.1106678873105009|184.3|176.9|142.8|274.2|2025-10-24|255.6|2026-02-10|-0.3276907529055078|-0.3077523413111341|-0.5653794591766667|-0.441324815063887|-0.2213|-0.1524|-0.2856854737054404
AAK6P200|||475|-480.6873103479241|-7982.409826087824|0.8888768745626469|0.9|0.8806225998660264|0.936|0.834|216.8|-10115|-22787|-0.0291732142857142|-0.1394083333333333|-2851.368750000008|-13801.425|0.8331730968198257|0.7003514335634345|0.9944362670064096|-7375|-39925|0.8009563599380534|223.2|204.7|217.5|1.25|2.57|5.0|0.45|0.064|-7375|2.112427150173957|229.0|19|4.56|100000|200.0|119.2|-11075|-28125|0.047|0.021|0.064|0.3865288827771951|0.3214749770081091|0.1829785622407687|0.5|Y|AAK|SE|40.0|MEDIUM|2026-04-17|2.05|-0.3298038622497856|-0.2191275546766954|0.1061349651256231|184.3|176.9|142.8|274.2|2025-10-24|255.6|2026-02-10|-0.3276907529055078|-0.3077523413111341|-0.5653794591766667|-0.441324815063887|-0.2123|-0.1321|-0.2856854737054404
AAK6P205|||650|311.5048620689655|-1966.7672413793105|0.8830327091996748|0.9130434782608696|0.8489883071301358|0.905|0.865|217.7|-12440|-25112|-0.0291732142857142|-0.1394083333333333|-2851.368750000008|-13801.425|0.8331730968198257|0.7003514335634345|0.9944362670064096|-9700|-42250|0.8009563599380534|223.2|206.3|217.5|1.6|0.96|5.0|0.8|0.067|-9700|1.972902762677663|229.0|19|3.0|102500|205.0|119.2|-13400|-30450|0.052|0.026|0.067|0.3609989109555993|0.3214749770081091|0.1829785622407687|0.5|Y|AAK|SE|46.0|MEDIUM|2026-04-17|2.4|-0.3298038622497856|-0.2191275546766954|0.0991248223143675|184.3|176.9|142.8|274.2|2025-10-24|255.6|2026-02-10|-0.3276907529055078|-0.3077523413111341|-0.5653794591766667|-0.441324815063887|-0.1982|-0.1118|-0.2856854737054404
AAK6P210|||900|409.990073934944|-1868.6702808844875|0.8343528171344032|0.9117647058823528|0.8061360351549639|0.862|0.808|218.4|-14690|-27362|-0.0291732142857142|-0.1394083333333333|-2851.368750000008|-13801.425|0.8331730968198257|0.7003514335634345|0.9944362670064096|-11950|-44500|0.8009563599380534|223.2|207.8|217.5|2.1|1.08|5.0|1.3|0.075|-11950|1.8442921118767857|229.0|19|2.23|105000|210.0|119.2|-15650|-32700|0.061|0.033|0.075|0.3374659189832051|0.3214749770081091|0.1829785622407687|0.5|Y|AAK|SE|34.0|MEDIUM|2026-04-17|2.9|-0.3298038622497856|-0.2191275546766954|0.0926630198629027|184.3|176.9|142.8|274.2|2025-10-24|255.6|2026-02-10|-0.3276907529055078|-0.3077523413111341|-0.5653794591766667|-0.441324815063887|-0.1853|-0.0921|-0.2856854737054404
AAK6P212|||1025|-779.6650000000002|-9307.5|0.822804520536221|0.83735084202085|0.7854111186061721|0.861|0.786|218.7|-15565|-28237|-0.0291732142857142|-0.1394083333333333|-2851.368750000008|-13801.425|0.8331730968198257|0.7003514335634345|0.9944362670064096|-12825|-45375|0.8009563599380534|223.2|208.4|217.5|2.35|4.6|5.0|1.55|0.08|-12825|1.794052346632024|229.0|19|2.03|106000|212.0|119.2|-16525|-33575|0.066|0.036|0.08|0.3282731189714049|0.3214749770081091|0.1829785622407687|0.5|Y|AAK|SE|29.0|LOW|2026-04-17|3.15|-0.3298038622497856|-0.2191275546766954|0.0901388164925128|184.3|176.9|142.8|274.2|2025-10-24|255.6|2026-02-10|-0.3276907529055078|-0.3077523413111341|-0.5653794591766667|-0.441324815063887|-0.1803|-0.0845|-0.2856854737054404
AAK6P214|||1175|137.8020320485881|-3368.037060239125|0.7931404718360495|0.6764705882352942|0.7617146397211526|0.837|0.748|218.9|-16415|-29087|-0.0291732142857142|-0.1394083333333333|-2851.368750000008|-13801.425|0.8331730968198257|0.7003514335634345|0.9944362670064096|-13675|-46225|0.8009563599380534|223.2|208.9|217.5|2.6500000000000004|2.06|5.0|1.85|0.086|-13675|1.7488006765088944|229.0|19|1.86|107000|214.0|119.2|-17375|-34425|0.072|0.04|0.086|0.3199930334332811|0.3214749770081091|0.1829785622407687|0.5|Y|AAK|SE|34.0|MEDIUM|2026-04-17|3.45|-0.3298038622497856|-0.2191275546766954|0.0878652306649499|184.3|176.9|142.8|274.2|2025-10-24|255.6|2026-02-10|-0.3276907529055078|-0.3077523413111341|-0.5653794591766667|-0.441324815063887|-0.1757|-0.0771|-0.2856854737054404
AAK6P215|||1250|57.4269573016535|-3368.037060239125|0.7721723896604464|0.6764705882352942|0.7495284983277231|0.825|0.714|219.1|-16840|-29512|-0.0291732142857142|-0.1394083333333333|-2851.368750000008|-13801.425|0.8331730968198257|0.7003514335634345|0.9944362670064096|-14100|-46650|0.8009563599380534|223.2|209.2|217.5|2.8|2.58|5.0|2.0|0.089|-14100|1.7221649490483146|229.0|19|1.8|107500|215.0|119.2|-17800|-34850|0.074|0.042|0.089|0.3151192663183073|0.3214749770081091|0.1829785622407687|0.5|Y|AAK|SE|34.0|MEDIUM|2026-04-17|3.6|-0.3298038622497856|-0.2191275546766954|0.0865269681810146|184.3|176.9|142.8|274.2|2025-10-24|255.6|2026-02-10|-0.3276907529055078|-0.3077523413111341|-0.5653794591766667|-0.441324815063887|-0.1731|-0.0734|-0.2856854737054404
