Stock,Date,HitRate,Total
AAK AB,2024-04,100.0,1
AAK AB,2024-05,100.0,17
AAK AB,2024-06,100.0,36
AAK AB,2024-07,89.28571428571429,56
AAK AB,2024-08,100.0,60
AAK AB,2024-09,100.0,92
AAK AB,2024-10,100.0,53
AAK AB,2024-11,11.538461538461538,52
AAK AB,2024-12,100.0,144
AAK AB,2025-01,94.44444444444444,54
AAK AB,2025-02,95.08196721311475,61
AAK AB,2025-03,61.58536585365854,164
AAK AB,2025-04,38.095238095238095,63
AAK AB,2025-05,68.33333333333333,60
AAK AB,2025-06,40.458015267175576,131
AAK AB,2025-07,100.0,65
AAK AB,2025-08,100.0,52
AAK AB,2025-09,57.99999999999999,150
AAK AB,2025-10,91.48936170212765,47
AAK AB,2025-11,88.88888888888889,72
AAK AB,2025-12,100.0,141
ABB Ltd,2024-04,100.0,6
ABB Ltd,2024-05,98.55072463768117,69
ABB Ltd,2024-06,100.0,105
ABB Ltd,2024-07,94.78260869565217,115
ABB Ltd,2024-08,71.94244604316546,139
ABB Ltd,2024-09,90.9090909090909,165
ABB Ltd,2024-10,98.51851851851852,135
ABB Ltd,2024-11,100.0,123
ABB Ltd,2024-12,88.5593220338983,236
ABB Ltd,2025-01,85.36585365853658,123
ABB Ltd,2025-02,85.71428571428571,140
ABB Ltd,2025-03,79.1970802919708,274
ABB Ltd,2025-04,29.838709677419356,124
ABB Ltd,2025-05,95.38461538461539,130
ABB Ltd,2025-06,97.5609756097561,205
ABB Ltd,2025-07,99.18032786885246,122
ABB Ltd,2025-08,97.94520547945206,146
ABB Ltd,2025-09,100.0,320
ABB Ltd,2025-10,100.0,148
ABB Ltd,2025-11,76.51006711409396,149
ABB Ltd,2025-12,100.0,321
ASSA ABLOY AB ser. B,2024-04,100.0,1
ASSA ABLOY AB ser. B,2024-05,100.0,16
ASSA ABLOY AB ser. B,2024-06,53.65853658536586,41
ASSA ABLOY AB ser. B,2024-07,100.0,60
ASSA ABLOY AB ser. B,2024-08,96.96969696969697,66
ASSA ABLOY AB ser. B,2024-09,100.0,104
ASSA ABLOY AB ser. B,2024-10,100.0,67
ASSA ABLOY AB ser. B,2024-11,94.11764705882352,68
ASSA ABLOY AB ser. B,2024-12,92.89940828402366,169
ASSA ABLOY AB ser. B,2025-01,100.0,63
ASSA ABLOY AB ser. B,2025-02,100.0,68
ASSA ABLOY AB ser. B,2025-03,75.87719298245614,228
ASSA ABLOY AB ser. B,2025-04,13.432835820895523,67
ASSA ABLOY AB ser. B,2025-05,100.0,61
ASSA ABLOY AB ser. B,2025-06,61.15107913669065,139
