Stock,ProbMethod,HistoricalPeakThreshold,CurrentProb_Bin,DTE_Bin,RecoveryCandidate_N,RecoveryCandidate_WorthlessCount,RecoveryCandidate_WorthlessRate_pct,AllOptions_N,AllOptions_WorthlessCount,AllOptions_WorthlessRate_pct,RecoveryAdvantage_pp
TRATON SE,Weighted Average,0.8,80-90%,0-7,85,65,76.47058823529412,85,65,76.47058823529412,0.0
TRATON SE,Weighted Average,0.8,80-90%,15-21,22,20,90.9090909090909,22,20,90.9090909090909,0.0
TRATON SE,Weighted Average,0.8,80-90%,36+,249,216,86.74698795180723,249,216,86.74698795180723,0.0
TRATON SE,Weighted Average,0.8,80-90%,22-28,22,21,95.45454545454545,22,21,95.45454545454545,0.0
TRATON SE,Weighted Average,0.8,80-90%,29-35,37,30,81.08108108108108,37,30,81.08108108108108,0.0
TRATON SE,Weighted Average,0.8,80-90%,8-14,35,29,82.85714285714286,35,29,82.85714285714286,0.0
TRATON SE,Weighted Average,0.8,50-60%,0-7,23,13,56.52173913043478,59,24,40.67796610169492,15.84377302873986
TRATON SE,Weighted Average,0.8,50-60%,15-21,14,5,35.714285714285715,27,11,40.74074074074074,-5.026455026455025
TRATON SE,Weighted Average,0.8,50-60%,22-28,20,15,75.0,34,18,52.94117647058824,22.05882352941176
TRATON SE,Weighted Average,0.8,50-60%,36+,125,97,77.60000000000001,195,101,51.7948717948718,25.805128205128206
TRATON SE,Weighted Average,0.8,50-60%,29-35,20,18,90.0,25,19,76.0,14.0
TRATON SE,Weighted Average,0.8,50-60%,8-14,23,17,73.91304347826086,94,39,41.48936170212766,32.4236817761332
TRATON SE,Weighted Average,0.8,70-80%,15-21,13,7,53.84615384615385,16,9,56.25,-2.4038461538461533
TRATON SE,Weighted Average,0.8,70-80%,0-7,43,30,69.76744186046511,84,60,71.42857142857143,-1.6611295681063183
TRATON SE,Weighted Average,0.8,70-80%,8-14,41,31,75.60975609756098,72,57,79.16666666666666,-3.556910569105682
TRATON SE,Weighted Average,0.8,70-80%,36+,182,148,81.31868131868131,205,150,73.17073170731707,8.14794961136424
TRATON SE,Weighted Average,0.8,70-80%,22-28,24,24,100.0,26,24,92.3076923076923,7.692307692307693
TRATON SE,Weighted Average,0.8,70-80%,29-35,39,34,87.17948717948718,42,34,80.95238095238095,6.227106227106233
TRATON SE,Weighted Average,0.8,60-70%,15-21,17,11,64.70588235294117,28,16,57.14285714285714,7.563025210084035
TRATON SE,Weighted Average,0.8,60-70%,0-7,30,16,53.333333333333336,73,43,58.9041095890411,-5.570776255707763
TRATON SE,Weighted Average,0.8,60-70%,22-28,22,18,81.81818181818183,28,19,67.85714285714286,13.961038961038966
TRATON SE,Weighted Average,0.8,60-70%,36+,153,122,79.73856209150327,193,124,64.24870466321244,15.489857428290833
TRATON SE,Weighted Average,0.8,60-70%,29-35,20,17,85.0,26,19,73.07692307692307,11.923076923076934
TRATON SE,Weighted Average,0.8,60-70%,8-14,39,30,76.92307692307693,86,55,63.95348837209303,12.969588550983907
AAK AB,Weighted Average,0.8,80-90%,15-21,33,28,84.84848484848484,33,28,84.84848484848484,0.0
AAK AB,Weighted Average,0.8,80-90%,8-14,37,29,78.37837837837837,37,29,78.37837837837837,0.0
AAK AB,Weighted Average,0.8,80-90%,0-7,27,22,81.48148148148148,27,22,81.48148148148148,0.0
AAK AB,Weighted Average,0.8,80-90%,36+,225,208,92.44444444444444,225,208,92.44444444444444,0.0
AAK AB,Weighted Average,0.8,80-90%,29-35,54,53,98.14814814814815,54,53,98.14814814814815,0.0
AAK AB,Weighted Average,0.8,80-90%,22-28,60,55,91.66666666666666,60,55,91.66666666666666,0.0
AAK AB,Weighted Average,0.8,70-80%,15-21,21,17,80.95238095238095,24,19,79.16666666666666,1.7857142857142918
AAK AB,Weighted Average,0.8,70-80%,8-14,30,24,80.0,46,35,76.08695652173914,3.9130434782608603
AAK AB,Weighted Average,0.8,70-80%,0-7,15,12,80.0,32,22,68.75,11.25
AAK AB,Weighted Average,0.8,70-80%,36+,189,167,88.35978835978835,200,167,83.5,4.859788359788354
AAK AB,Weighted Average,0.8,70-80%,29-35,20,19,95.0,24,19,79.16666666666666,15.833333333333343
AAK AB,Weighted Average,0.8,70-80%,22-28,27,26,96.29629629629629,29,26,89.65517241379311,6.64112388250318
AAK AB,Weighted Average,0.8,60-70%,15-21,19,17,89.47368421052632,21,17,80.95238095238095,8.521303258145366
AAK AB,Weighted Average,0.8,60-70%,8-14,18,14,77.77777777777779,37,21,56.75675675675676,21.021021021021028
AAK AB,Weighted Average,0.8,60-70%,36+,136,113,83.08823529411765,160,114,71.25,11.838235294117652
AAK AB,Weighted Average,0.8,60-70%,29-35,17,16,94.11764705882352,23,16,69.56521739130434,24.552429667519178
AAK AB,Weighted Average,0.8,60-70%,0-7,14,12,85.71428571428571,28,20,71.42857142857143,14.285714285714278
AAK AB,Weighted Average,0.8,60-70%,22-28,16,12,75.0,18,12,66.66666666666666,8.333333333333343
AAK AB,Weighted Average,0.8,50-60%,15-21,12,11,91.66666666666666,14,11,78.57142857142857,13.095238095238088
AAK AB,Weighted Average,0.8,50-60%,8-14,20,16,80.0,54,28,51.85185185185185,28.148148148148152
AAK AB,Weighted Average,0.8,50-60%,36+,115,96,83.47826086956522,160,98,61.25000000000001,22.22826086956521
AAK AB,Weighted Average,0.8,50-60%,29-35,8,7,87.5,14,8,57.14285714285714,30.35714285714286
AAK AB,Weighted Average,0.8,50-60%,22-28,15,9,60.0,18,9,50.0,10.0
AAK AB,Weighted Average,0.8,50-60%,0-7,6,4,66.66666666666666,16,10,62.5,4.166666666666657
ABB Ltd,Weighted Average,0.8,80-90%,0-7,269,235,87.36059479553904,269,235,87.36059479553904,0.0
ABB Ltd,Weighted Average,0.8,80-90%,8-14,382,332,86.91099476439791,382,332,86.91099476439791,0.0
ABB Ltd,Weighted Average,0.8,80-90%,15-21,225,191,84.88888888888889,225,191,84.88888888888889,0.0
ABB Ltd,Weighted Average,0.8,80-90%,22-28,102,95,93.13725490196079,102,95,93.13725490196079,0.0
ABB Ltd,Weighted Average,0.8,80-90%,36+,285,259,90.87719298245615,285,259,90.87719298245615,0.0
ABB Ltd,Weighted Average,0.8,80-90%,29-35,16,13,81.25,16,13,81.25,0.0
ABB Ltd,Weighted Average,0.8,70-80%,0-7,94,80,85.1063829787234,149,116,77.85234899328859,7.254033985434816
ABB Ltd,Weighted Average,0.8,70-80%,8-14,230,185,80.43478260869566,275,206,74.90909090909092,5.525691699604735
ABB Ltd,Weighted Average,0.8,70-80%,15-21,138,115,83.33333333333334,148,117,79.05405405405406,4.2792792792792795
ABB Ltd,Weighted Average,0.8,70-80%,22-28,59,50,84.7457627118644,64,50,78.125,6.620762711864401
ABB Ltd,Weighted Average,0.8,70-80%,36+,145,121,83.44827586206897,155,121,78.06451612903226,5.383759733036712
ABB Ltd,Weighted Average,0.8,70-80%,29-35,13,10,76.92307692307693,13,10,76.92307692307693,0.0
ABB Ltd,Weighted Average,0.8,60-70%,0-7,75,60,80.0,124,85,68.54838709677419,11.451612903225808
ABB Ltd,Weighted Average,0.8,60-70%,15-21,116,96,82.75862068965517,143,106,74.12587412587412,8.632746563781055
ABB Ltd,Weighted Average,0.8,60-70%,8-14,96,71,73.95833333333334,152,96,63.1578947368421,10.80043859649124
ABB Ltd,Weighted Average,0.8,60-70%,22-28,51,40,78.43137254901961,63,42,66.66666666666666,11.764705882352956
ABB Ltd,Weighted Average,0.8,60-70%,36+,116,93,80.17241379310344,132,94,71.21212121212122,8.960292580982227
ABB Ltd,Weighted Average,0.8,60-70%,29-35,16,12,75.0,17,12,70.58823529411765,4.411764705882348
ABB Ltd,Weighted Average,0.8,50-60%,0-7,74,53,71.62162162162163,126,84,66.66666666666666,4.954954954954971
ABB Ltd,Weighted Average,0.8,50-60%,36+,30,22,73.33333333333333,38,22,57.89473684210527,15.438596491228061
ABB Ltd,Weighted Average,0.8,50-60%,15-21,1,1,100.0,1,1,100.0,0.0
ABB Ltd,Weighted Average,0.8,50-60%,22-28,2,2,100.0,2,2,100.0,0.0
