HistoricalPeakThreshold,ProbMethod,CurrentProb_Bin,DTE_Bin,RecoveryCandidate_N,RecoveryCandidate_WorthlessCount,RecoveryCandidate_WorthlessRate_pct,AllOptions_N,AllOptions_WorthlessCount,AllOptions_WorthlessRate_pct,RecoveryAdvantage_pp
0.8,Weighted Average,80-90%,0-7,6915,5966,86.27621113521332,6915,5966,86.27621113521332,0.0
0.8,Weighted Average,80-90%,15-21,7511,6566,87.41845293569432,7511,6566,87.41845293569432,0.0
0.8,Weighted Average,80-90%,36+,14364,12878,89.65469228627123,14364,12878,89.65469228627123,0.0
0.8,Weighted Average,80-90%,22-28,4371,3945,90.25394646533974,4371,3945,90.25394646533974,0.0
0.8,Weighted Average,80-90%,29-35,2287,2032,88.85002186270223,2287,2032,88.85002186270223,0.0
0.8,Weighted Average,80-90%,8-14,9008,7798,86.56749555950266,9008,7798,86.56749555950266,0.0
0.8,Weighted Average,50-60%,0-7,1836,1280,69.71677559912854,5546,3342,60.25964659213848,9.457129006990058
0.8,Weighted Average,50-60%,15-21,1280,1014,79.21875,2693,1581,58.707760861492766,20.510989138507234
0.8,Weighted Average,50-60%,22-28,1158,944,81.51986183074266,2113,1281,60.624704212020816,20.89515761872184
0.8,Weighted Average,50-60%,36+,5047,4069,80.6221517733307,8474,5057,59.676658012744866,20.945493760585833
0.8,Weighted Average,50-60%,29-35,816,634,77.69607843137256,1416,854,60.31073446327684,17.385343968095718
0.8,Weighted Average,50-60%,8-14,1701,1271,74.72075249853027,4741,2591,54.6509175279477,20.069834970582576
0.8,Weighted Average,70-80%,15-21,5084,4309,84.7560975609756,6340,4910,77.44479495268138,7.311302608294227
0.8,Weighted Average,70-80%,0-7,3266,2710,82.97611757501531,7051,5414,76.78343497376258,6.192682601252727
0.8,Weighted Average,70-80%,8-14,5798,4818,83.09761986892032,8381,6359,75.87400071590503,7.223619153015292
0.8,Weighted Average,70-80%,36+,11673,10020,85.83911590850681,13650,10907,79.9047619047619,5.9343540037449145
0.8,Weighted Average,70-80%,22-28,3060,2651,86.63398692810458,3808,3026,79.46428571428571,7.169701213818868
0.8,Weighted Average,70-80%,29-35,1584,1377,86.93181818181817,1989,1586,79.73856209150327,7.193256090314904
0.8,Weighted Average,60-70%,15-21,3173,2667,84.05294673810275,5004,3408,68.10551558752998,15.947431150572768
0.8,Weighted Average,60-70%,0-7,2671,2054,76.90003743916137,6894,4627,67.11633304322599,9.783704395935374
0.8,Weighted Average,60-70%,22-28,2096,1780,84.92366412213741,3149,2180,69.22832645284217,15.695337669295242
0.8,Weighted Average,60-70%,36+,8767,7300,83.26679593931789,12000,8451,70.42500000000001,12.841795939317876
0.8,Weighted Average,60-70%,29-35,1265,1029,81.34387351778656,1742,1187,68.14006888633754,13.203804631449017
0.8,Weighted Average,60-70%,8-14,4016,3144,78.28685258964143,7580,4991,65.84432717678101,12.44252541286042
0.8,Bayesian Calibrated,70-80%,0-7,3740,3001,80.24064171122994,6671,4941,74.0668565432469,6.173785167983041
0.8,Bayesian Calibrated,70-80%,15-21,5216,4346,83.32055214723927,6017,4601,76.46667774638523,6.853874400854039
0.8,Bayesian Calibrated,70-80%,22-28,3425,2826,82.51094890510949,3851,2967,77.04492339652037,5.466025508589112
0.8,Bayesian Calibrated,70-80%,36+,11045,9032,81.77455862381167,12279,9388,76.4557374379021,5.31882118590957
0.8,Bayesian Calibrated,70-80%,8-14,6154,5042,81.93045173870654,8080,6019,74.49257425742574,7.437877481280793
0.8,Bayesian Calibrated,70-80%,29-35,1621,1339,82.60333127698951,1787,1382,77.33631785114717,5.267013425842336
0.8,Bayesian Calibrated,50-60%,0-7,1277,920,72.04385277995301,3367,1980,58.8060588060588,13.237793973894213
0.8,Bayesian Calibrated,50-60%,15-21,1996,1541,77.20440881763527,3293,1965,59.67203158214394,17.53237723549133
0.8,Bayesian Calibrated,50-60%,22-28,1476,1134,76.82926829268293,2153,1295,60.148629818857415,16.68063847382551
0.8,Bayesian Calibrated,50-60%,36+,6013,4559,75.8190587061367,8033,4891,60.886343831694255,14.932714874442446
0.8,Bayesian Calibrated,50-60%,8-14,2515,1846,73.39960238568588,4850,2725,56.18556701030928,17.214035375376604
0.8,Bayesian Calibrated,50-60%,29-35,958,705,73.59081419624218,1272,760,59.74842767295597,13.842386523286208
0.8,Bayesian Calibrated,80-90%,15-21,6706,5650,84.25290784372204,6706,5650,84.25290784372204,0.0
0.8,Bayesian Calibrated,80-90%,36+,14779,12648,85.58089180594087,14779,12648,85.58089180594087,0.0
0.8,Bayesian Calibrated,80-90%,29-35,2142,1826,85.24743230625583,2142,1826,85.24743230625583,0.0
0.8,Bayesian Calibrated,80-90%,8-14,8756,7378,84.26222019186844,8756,7378,84.26222019186844,0.0
0.8,Bayesian Calibrated,80-90%,0-7,6904,5771,83.58922363847046,6904,5771,83.58922363847046,0.0
0.8,Bayesian Calibrated,80-90%,22-28,3846,3279,85.25741029641186,3846,3279,85.25741029641186,0.0
0.8,Bayesian Calibrated,60-70%,15-21,4041,3307,81.83617916357338,5475,3733,68.18264840182648,13.653530761746893
