DataType|Stock|HistoricalPeakThreshold|ProbMethod|CurrentProb_Bin|DTE_Bin|RecoveryCandidate_N|RecoveryCandidate_WorthlessCount|RecoveryCandidate_WorthlessRate_pct|AllOptions_N|AllOptions_WorthlessCount|AllOptions_WorthlessRate_pct|RecoveryAdvantage_pp
scenario||0.8|Weighted Average|80-90%|22-28|5231|4794|91.64595679602373|5231|4794|91.64595679602373|0.0
scenario||0.8|Weighted Average|80-90%|0-7|10159|8948|88.07953538734128|10159|8948|88.07953538734128|0.0
scenario||0.8|Weighted Average|80-90%|15-21|9747|8596|88.19123832974249|9747|8596|88.19123832974249|0.0
scenario||0.8|Weighted Average|80-90%|36+|16665|15057|90.35103510351034|16665|15057|90.35103510351034|0.0
scenario||0.8|Weighted Average|80-90%|8-14|11928|10448|87.59221998658619|11928|10448|87.59221998658619|0.0
scenario||0.8|Weighted Average|80-90%|29-35|2755|2455|89.11070780399274|2755|2455|89.11070780399274|0.0
scenario||0.8|Weighted Average|70-80%|22-28|3815|3371|88.36173001310615|5214|4257|81.64556962025317|6.716160392852984
scenario||0.8|Weighted Average|70-80%|15-21|6859|5875|85.65388540603587|9105|7124|78.24272377814387|7.411161627892
scenario||0.8|Weighted Average|70-80%|0-7|4566|3892|85.23872098116513|10170|8014|78.80039331366766|6.438327667497475
scenario||0.8|Weighted Average|70-80%|36+|13574|11772|86.72462059820245|16012|12920|80.68948288783413|6.035137710368318
scenario||0.8|Weighted Average|70-80%|8-14|7993|6709|83.9359439509571|12100|9319|77.01652892561984|6.919415025337258
scenario||0.8|Weighted Average|70-80%|29-35|2230|1953|87.57847533632287|3024|2451|81.0515873015873|6.526888034735563
scenario||0.8|Weighted Average|60-70%|22-28|2688|2326|86.53273809523809|4604|3336|72.45873153779321|14.074006557444877
scenario||0.8|Weighted Average|60-70%|15-21|4087|3462|84.70760949351602|7234|4972|68.73099253525021|15.976616958265808
scenario||0.8|Weighted Average|60-70%|0-7|3722|2905|78.04943578721118|9995|6787|67.903951975988|10.145483811223189
scenario||0.8|Weighted Average|60-70%|36+|9683|8122|83.87896313126097|14335|10168|70.93128705964423|12.94767607161674
scenario||0.8|Weighted Average|60-70%|8-14|5836|4613|79.04386566141193|11809|7771|65.8057413836904|13.238124277721523
scenario||0.8|Weighted Average|60-70%|29-35|1600|1338|83.625|2510|1785|71.11553784860558|12.509462151394416
scenario||0.8|Weighted Average|50-60%|22-28|1337|1128|84.36798803290951|3147|1858|59.0403558945027|25.327632138406805
scenario||0.8|Weighted Average|50-60%|0-7|2498|1666|66.693354683747|8210|4833|58.86723507917174|7.826119604575261
scenario||0.8|Weighted Average|50-60%|15-21|1690|1415|83.72781065088756|4170|2519|60.40767386091128|23.32013678997629
scenario||0.8|Weighted Average|50-60%|36+|5545|4554|82.12804328223625|10769|6595|61.24059801281456|20.88744526942169
scenario||0.8|Weighted Average|50-60%|8-14|2200|1666|75.72727272727273|6867|3826|55.71574195427407|20.01153077299867
scenario||0.8|Weighted Average|50-60%|29-35|982|758|77.18940936863544|1933|1135|58.7170201758924|18.47238919274304
scenario||0.8|Bayesian Calibrated|80-90%|22-28|6043|5288|87.5062055270561|6043|5288|87.5062055270561|0.0
scenario||0.8|Bayesian Calibrated|80-90%|15-21|9553|8369|87.60598764785931|9553|8369|87.60598764785931|0.0
scenario||0.8|Bayesian Calibrated|80-90%|8-14|11975|10223|85.36951983298539|11975|10223|85.36951983298539|0.0
scenario||0.8|Bayesian Calibrated|80-90%|0-7|10987|9270|84.37244015654865|10987|9270|84.37244015654865|0.0
scenario||0.8|Bayesian Calibrated|80-90%|36+|17575|15497|88.17638691322902|17575|15497|88.17638691322902|0.0
scenario||0.8|Bayesian Calibrated|80-90%|29-35|3013|2565|85.13109857285099|3013|2565|85.13109857285099|0.0
scenario||0.8|Bayesian Calibrated|70-80%|22-28|4426|3748|84.68142792589245|5392|4284|79.45103857566765|5.230389350224797
scenario||0.8|Bayesian Calibrated|70-80%|0-7|5327|4426|83.0861648207246|9530|7295|76.54774396642182|6.538420854302785
scenario||0.8|Bayesian Calibrated|70-80%|15-21|8190|6990|85.34798534798534|9923|7824|78.84712284591353|6.500862502071811
scenario||0.8|Bayesian Calibrated|70-80%|8-14|8538|7120|83.39189505739049|11746|8924|75.97479993189171|7.417095125498776
scenario||0.8|Bayesian Calibrated|70-80%|36+|13964|11796|84.47436264680607|15691|12447|79.32572812440253|5.14863452240354
scenario||0.8|Bayesian Calibrated|70-80%|29-35|2282|1936|84.83786152497808|2687|2119|78.86118347599553|5.976678048982549
scenario||0.8|Bayesian Calibrated|60-70%|22-28|2948|2444|82.90366350067842|4410|3036|68.84353741496598|14.06012608571244
scenario||0.8|Bayesian Calibrated|60-70%|15-21|5760|4780|82.98611111111111|8343|5820|69.75907946781733|13.227031643293785
scenario||0.8|Bayesian Calibrated|60-70%|0-7|4537|3468|76.43817500551025|9567|6370|66.5830458869029|9.855129118607351
scenario||0.8|Bayesian Calibrated|60-70%|36+|10575|8554|80.88888888888889|13557|9560|70.51707604927344|10.371812839615444
scenario||0.8|Bayesian Calibrated|60-70%|8-14|6476|5154|79.58616429894997|10764|7208|66.96395392047566|12.622210378474309
scenario||0.8|Bayesian Calibrated|60-70%|29-35|1818|1446|79.53795379537954|2397|1657|69.12807676261994|10.409877032759596
scenario||0.8|Bayesian Calibrated|50-60%|22-28|1729|1387|80.21978021978022|3032|1813|59.79551451187335|20.42426570790687
scenario||0.8|Bayesian Calibrated|50-60%|0-7|2181|1574|72.16872994039431|5556|3254|58.56731461483081|13.6014153255635
scenario||0.8|Bayesian Calibrated|50-60%|15-21|3154|2535|80.37412809131263|5642|3466|61.43211627082594|18.942011820486684
scenario||0.8|Bayesian Calibrated|50-60%|36+|6922|5418|78.27217567177117|10299|6397|62.112826488008544|16.15934918376262
scenario||0.8|Bayesian Calibrated|50-60%|8-14|3230|2385|73.83900928792569|6939|4023|57.97665369649806|15.86235559142763
scenario||0.8|Bayesian Calibrated|50-60%|29-35|1198|901|75.20868113522538|1903|1123|59.01208617971624|16.196594955509134
scenario||0.8|Original Black-Scholes|80-90%|22-28|5602|5056|90.25348089967868|5602|5056|90.25348089967868|0.0
scenario||0.8|Original Black-Scholes|80-90%|0-7|10013|8953|89.41376210925796|10013|8953|89.41376210925796|0.0
